email,nombre,lista
admin@iscd.ec,Admin ISCD,interno
luis@iscd.ec,Luis Jaramillo,interno
diego@iscd.ec,Diego Saavedra,interno
estudiante1@espe.edu.ec,Andrés Rodríguez,estudiantes
estudiante2@espe.edu.ec,Carlos Mendoza,estudiantes
estudiante3@espe.edu.ec,Laura Torres,estudiantes
estudiante4@uide.edu.ec,Marco López,estudiantes
estudiante5@uide.edu.ec,Ana Gabriela Reyes,estudiantes
empresa1@telconet.ec,Ing. Roberto Silva,empresas
empresa2@banecuador.fin.ec,Ing. Paola Villacís,empresas
empresa3@seguridata.ec,Ing. Jorge Hernández,empresas
empresa4@cybersec.ec,Ing. María Elena Cortez,empresas
freelancer1@gmail.com,Carlos Dev,freelancers
freelancer2@gmail.com,Juan FullStack,freelancers
freelancer3@gmail.com,María Coder,freelancers
lead1@outlook.com,Pedro Pérez,leads
lead2@yahoo.com,Sofía García,leads
lead3@hotmail.com,Luis Miguel,leads
lead4@gmail.com,Andrea López,leads
lead5@gmail.com,Roberto Díaz,leads
